index,label
11583,1
11584,1
11588,1
11590,1
11594,1
11600,1
11609,1
11628,1
11631,1
11632,1
11636,1
11641,1
11652,1
11654,1
11657,1
11658,1
11661,1
11662,1
11666,1
11669,1
11672,1
11683,1
11688,1
11691,1
11693,1
11699,1
11712,1
11713,1
11720,1
11723,1
11727,1
11729,1
11731,1
11736,1
11740,1
11744,1
11746,1
11757,1
11761,1
11765,1
11767,1
11770,1
11774,1
11777,1
11778,1
11783,1
11784,1
11785,1
11787,1
11788,1
11790,1
11791,1
11792,1
11795,1
11796,1
11797,1
11802,1
11806,1
11807,1
11815,1
11816,1
11819,1
11823,1
11830,1
11831,1
11832,1
11838,1
11846,1
11848,1
11851,1
11855,1
11875,1
11879,1
11881,1
11882,1
11885,1
11892,1
11893,1
11894,1
11895,1
11897,1
11901,1
11907,1
11909,1
11922,1
11924,1
11929,1
11935,1
11947,1
11955,1
11957,1
11959,1
11962,1
11965,1
11969,1
11974,1
11975,1
11982,1
11992,1
11995,1
11998,1
12000,1
12001,1
12003,1
12004,1
12009,1
12012,1
12018,1
12023,1
12028,1
12031,1
12039,1
12050,1
12051,1
12055,1
12058,1
12059,1
12061,1
12068,1
12070,1
12083,1
12085,1
12087,1
12092,1
12094,1
12095,1
12103,1
12105,1
12109,1
12116,1
12125,1
12126,1
12127,1
12132,1
12139,1
12141,1
12142,1
12149,1
12151,1
12156,1
12159,1
12168,1
12170,1
12173,1
12175,1
12178,1
12181,1
12190,1
12192,1
12198,1
12199,1
12203,1
12207,1
12212,1
12214,1
12217,1
12221,1
12223,1
12226,1
12228,1
12229,1
12230,1
12231,1
12233,1
12236,1
12237,1
12238,1
12239,1
12241,1
12250,1
12257,1
12265,1
12277,1
12279,1
12280,1
12281,1
12284,1
12286,1
12290,1
12292,1
12298,1
12303,1
12310,1
12315,1
12316,1
12317,1
12320,1
12326,1
12329,1
12336,1
12339,1
12352,1
12360,1
12376,1
12380,1
12382,1
12384,1
12388,1
12392,1
12396,1
12398,1
12403,1
12404,1
12405,1
12406,1
12408,1
12434,1
12439,1
12447,1
12468,1
12469,1
12473,1
12476,1
12480,1
12487,1
12489,1
12491,1
12495,1
12497,1
12499,0
12500,0
12502,0
12505,0
12507,0
12509,0
12510,0
12513,0
12531,0
12534,0
12547,0
12549,0
12562,0
12564,0
12565,0
12575,0
12576,0
12577,0
12579,0
12580,0
12581,0
12589,0
12591,0
12596,0
12597,0
12603,0
12605,0
12606,0
12612,0
12622,0
12624,0
12627,0
12628,0
12629,0
12630,0
12634,0
12635,0
12636,0
12644,0
12645,0
12648,0
12652,0
12653,0
12659,0
12660,0
12663,0
12664,0
12670,0
12673,0
12676,0
12679,0
12682,0
12686,0
12691,0
12692,0
12693,0
12699,0
12701,0
12702,0
12704,0
12711,0
12715,0
12718,0
12730,0
12734,0
12735,0
12738,0
12740,0
12746,0
12748,0
12750,0
12754,0
12756,0
12757,0
12770,0
12773,0
12779,0
12787,0
12788,0
12789,0
12790,0
12791,0
12794,0
12797,0
12798,0
12799,0
12802,0
12808,0
12811,0
12812,0
